Name,Year,Id,Start Date,End Date
Basel,2005,328,2005-10-24,2005-10-30
Basel,2006,328,2006-10-23,2006-10-29
Basel,2007,328,2007-10-22,2007-10-28
Basel,2008,328,2008-10-20,2008-10-26
Basel,2009,328,2009-11-02,2009-11-08
Basel,2010,328,2010-11-01,2010-11-07
Basel,2011,328,2011-10-31,2011-11-06
Basel,2012,328,2012-10-22,2012-10-28
Basel,2013,328,2013-10-21,2013-10-27
Basel,2014,328,2014-10-20,2014-10-26
Basel,2015,328,2015-10-26,2015-11-01
Basel,2016,328,2016-10-24,2016-10-30
Basel,2017,328,2017-10-23,2017-10-29
Basel,2018,328,2018-10-22,2018-10-28
Basel,2019,328,2019-10-21,2019-10-27
Basel,2020,328,2020-10-26,2020-11-01
Basel,2021,328,2021-10-25,2021-10-31
Basel,2022,328,2022-10-24,2022-10-30
Basel,2023,328,2023-10-23,2023-10-29
Bastad,2001,316,2001-07-09,2001-07-15
Bastad,2002,316,2002-07-08,2002-07-14
Bastad,2003,316,2003-07-07,2003-07-13
Bastad,2004,316,2004-07-05,2004-07-11
Bastad,2005,316,2005-07-04,2005-07-10
Bastad,2006,316,2006-07-10,2006-07-16
Bastad,2007,316,2007-07-09,2007-07-15
Bastad,2008,316,2008-10-20,2008-10-26
Bastad,2009,316,2009-07-13,2009-07-19
Bastad,2010,316,2010-07-12,2010-07-18
Bastad,2011,316,2011-07-11,2011-07-17
Bastad,2012,316,2012-07-09,2012-07-15
Bastad,2013,316,2013-07-08,2013-07-14
Bastad,2014,316,2014-07-07,2014-07-13
Bastad,2015,316,2015-07-20,2015-07-26
Bastad,2016,316,2016-07-11,2016-07-17
Bastad,2017,316,2017-07-17,2017-07-23
Bastad,2018,316,2018-07-16,2018-07-22
Bastad,2019,316,2019-07-15,2019-07-21
Bastad,2020,316,2020-07-13,2020-07-19
Bastad,2021,316,2021-07-12,2021-07-18
Bastad,2022,316,2022-07-11,2022-07-17
Bastad,2023,316,2023-07-17,2023-07-23
Beijing,2004,747,2004-09-13,2004-09-19
Beijing,2005,747,2005-09-12,2005-09-18
Beijing,2006,747,2006-09-11,2006-09-17
Beijing,2007,747,2007-09-10,2007-09-16
Beijing,2008,747,2008-09-22,2008-09-28
Beijing,2009,747,2009-10-05,2009-10-11
Beijing,2010,747,2010-10-04,2010-10-10
Beijing,2011,747,2011-10-03,2011-10-09
Beijing,2012,747,2012-10-01,2012-10-07
Beijing,2013,747,2013-09-30,2013-10-06
Beijing,2014,747,2014-09-29,2014-10-05
Beijing,2015,747,2015-10-05,2015-10-11
Beijing,2016,747,2016-10-03,2016-10-09
Beijing,2017,747,2017-10-02,2017-10-08
Beijing,2018,747,2018-10-01,2018-10-07
Beijing,2019,747,2019-09-30,2019-10-06
Beijing,2020,747,2020-10-05,2020-10-11
Beijing,2021,747,2021-10-04,2021-10-10
Beijing,2023,747,2023-09-28,2023-10-04
Beijing Olympics,2008,96,2008-08-11,2008-08-17
Belgrade,2009,5053,2009-05-04,2009-05-10
Belgrade,2010,5053,2010-05-03,2010-05-09
Belgrade,2011,5053,2011-04-25,2011-05-01
Belgrade,2012,5053,2012-04-30,2012-05-06
Belgrade,2022,5053,2022-04-18,2022-04-24
Belgrade 1,2021,5053,2021-04-19,2021-04-25
Belgrade 2,2021,9512,2021-05-23,2021-05-29
Bogota,2001,359,2001-01-28,2001-02-03
Bogota,2013,6718,2013-07-15,2013-07-21
Bogota,2014,6718,2014-07-14,2014-07-20
Bogota,2015,6718,2015-07-20,2015-07-26
Brisbane,2009,339,2009-01-04,2009-01-11
Brisbane,2010,339,2010-01-03,2010-01-10
Brisbane,2011,339,2011-01-02,2011-01-09
Brisbane,2012,339,2012-12-30,2013-01-06
Brisbane,2012,339,2012-01-01,2012-01-08
Brisbane,2013,339,2013-12-29,2014-01-05
Brisbane,2015,339,2015-01-04,2015-01-11
Brisbane,2016,339,2016-01-04,2016-01-10
Brisbane,2017,339,2017-12-31,2018-01-07
Brisbane,2017,339,2017-01-01,2017-01-08
Brisbane,2018,339,2018-12-31,2019-01-06
Bucharest,2001,773,2001-09-10,2001-09-16
Bucharest,2002,773,2002-09-09,2002-09-15
Bucharest,2003,773,2003-09-08,2003-09-14
Bucharest,2004,773,2004-09-13,2004-09-19
Bucharest,2005,773,2005-09-12,2005-09-18
Bucharest,2006,773,2006-09-11,2006-09-17
Bucharest,2007,773,2007-09-10,2007-09-16
Bucharest,2008,773,2008-09-08,2008-09-14
Bucharest,2009,773,2009-09-21,2009-09-27
Bucharest,2010,773,2010-09-20,2010-09-26
Bucharest,2011,773,2011-09-19,2011-09-25
Bucharest,2012,773,2012-04-23,2012-04-29
Bucharest,2013,773,2013-04-22,2013-04-28
Bucharest,2014,773,2014-04-21,2014-04-27
Bucharest,2015,773,2015-04-20,2015-04-26
Bucharest,2016,773,2016-04-18,2016-04-24
Budapest,2017,7648,2017-04-24,2017-04-30
Budapest,2018,7648,2018-04-23,2018-04-29
Budapest,2019,7648,2019-04-22,2019-04-28
Budapest,2020,7648,2020-04-20,2020-04-26
